,0
title,"Aaditya Thackeray meets Sonia Gandhi, invites her for Uddhav's swearing-in"
datetime,2019-11-27 22:25:00+00:00
description,Aaditya Thackeray had a brief meeting with Gandhi at her 10 Janpath residence here. The Congress tweeted a photo of the two leaders from its official Twitter handle.
content,Shiv Sena leader Aaditya Thackeray on November 27 night met Congress president Sonia Gandhi and is understood to have invited her for Uddhav Thackeray's swearing-in as Maharashtra Chief Minister.Aaditya Thackeray had a brief meeting with Gandhi at her 10 Janpath residence here. The Congress tweeted a photo of the two leaders from its official Twitter handle.
,0
title,PM Modi announces $450 million line of credit to Sri Lanka after talks with Gotabaya Rajapaksa
datetime,2019-11-29 15:17:00+00:00
description,"The talks focused on issues like fulfilling aspirations of the Tamil community in Sri Lanka, ways to boost security and trade ties and address concerns of the fishermen."
content,"Prime Minister Narendra Modi announced on Friday a financial assistance of USD 450 million to Sri Lanka including USD 50 million to fight terrorism after he held ""fruitful"" talks with the island nation's newly elected President Gotabaya Rajapaksa.The talks focused on issues like fulfilling aspirations of the Tamil community in Sri Lanka, ways to boost security and trade ties and address concerns of the fishermen.In his media statement after the talks, Modi said he assured Rajapaksa of India's full assistance in taking his country in the path of rapid development.The prime minister announced a line of credit of USD 400 million for development projects in Sri Lanka besides granting a separate fund of USD 50 million to help the country deal with challenges of terrorism.Sri Lankan capital Colombo was hit by a series of bombings in April in which over 250 people were killed.""I have discussed in detail with President Rajpaksa how to strengthen our mutual cooperation in dealing with terrorism. Sri Lankan police officers are receiving training on countering terrorism in prominent Indian institutions,"" Modi said.Rajapaksa arrived here on Thursday on a three-day visit, in his first overseas tour after taking over the reins of Sri Lanka 10 days back in reflection of importance he attaches to ties with India.On the lingering Tamil issue, Modi said he was confident that the Sri Lankan government will carry forward the reconciliation process and fulfil the aspirations of the Tamil community.""The mandate that you have received reflected the aspirations of the Sri Lankan people for a strong and prosperous Sri Lanka. India's good wishes and cooperation are always with Sri Lanka in this regard,"" Modi said.Modi said a stable Sri Lanka is not only in interest of India but for entire Indian Ocean Region.On his part, Gotabaya said the talks were ""fruitful"" and that a major focus area of the deliberations was on security cooperation.""My talks with Prime Minister Modi also focused on economic cooperation,"" he said.Earlier, Gotabaya said he would strive to take his country's bilateral relationship with India to a ""very high level"".Speaking to reporters after a ceremonial welcome at the Rashtrapati Bhavan, he also said both India and Sri Lanka need to work together on issues relating to security.""During my tenure as president, I want to bring the relationship between India and Sri Lanka to a very high level. We have a long-standing relationship historically as well as politically,"" Rajapaksa said.Rajapaksa, a former defence secretary who is credited with ending the country's long civil war, was sworn in as the island nation's new president on November 18, a day after he won the closely fought presidential election in island nation."
,0
title,Manchester City owners acquire ISL team Mumbai City FC
datetime,2019-11-28 18:50:00+00:00
description,"With acquisition of Mumbai City FC, City Football Group has now eight football clubs under its umbrella.  "
content,"The owners of Premier League champions Manchester City have agreed on a deal to acquire a majority stake in Mumbai City FC, according to a release.Manchester City is the crown jewel of the City Football Group (CFG), which is majority owned by Abu Dhabi-based Sheikh Mansour bin Zayed Al Nahyan.“CFG will become the 65 percent majority shareholder of the Club, alongside existing shareholders, acclaimed actor and film producer, Ranbir Kapoor and Bimal Parekh who combined will hold the remaining 35 percent of shares. Completion of the investment remains subject to the approval of certain football bodies,” stated the release.NoneWith acquisition of Mumbai City FC, CFG has now eight football clubs under its umbrella.  These clubs are English Premier League Champions, Manchester City FC, also comprises New York City in the US, Melbourne City FC in Australia, Yokohama F. Marinos in Japan, Club Atletico Torque in Uruguay, Girona FC in Spain and Sichuan Jiuniu FC in China.ISL chairperson Nita Ambani was present on the occasion when the deal was finalized.NoneFSDL chairperson Mrs Nita Ambani welcoming City Football group CEO Ferran Soriano in the Indian Super League.“It’s a landmark occasion that celebrates the remarkable rise of Indian football and brings to life our vision for the beautiful game in India,” said Ambani.“It is a great endorsement of the increasing appeal of Indian football and for all football fans in India, this is a moment to take pride in our football, our culture and the opportunity we present to the world in developing the sport. The power and potential of our youth makes India the most exciting global opportunity in the world today, in every field, and especially in sport,” she elaborated.“We believe that this investment will deliver transformative benefits to Mumbai City FC, to City Football Group and to Indian Football as a whole. City Football Group is committed to the future of football in India and to the potential for Mumbai City FC within that future,” said Chairman of City Football Group Khaldoon Al Mumbarak.Mumbai City, has had players  likes of Freddie Ljungberg, Nicolas Anelka and Diego Forlan as their marquee players in the past.In the ongoing season of the league, they are currently placed seventh in the 10-team ISL.(with inputs from Reuters)City Football Group is delighted to welcome Mumbai City FC to its family of clubs.None"
,0
title,LEGO Mocks Tesla's Cybertruck With Its Own Shatterproof Version
datetime,2019-11-28 12:23:00+00:00
description,"The Cybertruck has already garnered over 200,000 pre-bookings, which were confirmed by the company’s founder, Elon Musk on Twitter."
content,"Global electric vehicle technology leader Tesla recently unveiled its latest offering in the segment, the Cybertruck. Essentially a fully electric pickup truck, the Cybertruck garnered a lot of attention for its quirky design and sharp edges.Among the reactors was a popular toy company, LEGO. The American company recently tweeted a photo with a caption, “The evolution of the truck is here. Guaranteed shatterproof.” This was a taunt at the embarrassment Tesla had to bear when it tried to showcase the Cybertruck’s shatterproof qualities. While the truck bore a few direct hits by a sledgehammer, both its windows on the side almost shattered when they were faced with a metal ball.The Cybertruck has already garnered over 200,000 pre-bookings, which were confirmed by the company’s founder, Elon Musk on Twitter. It gets a 17-inch touchscreen infotainment system, as well as a seating capacity of six passengers. It also gets the company’s standard auto parking, trailer docking and self-driving functions."
,0
title,'Free doesn't mean free': Vodafone Idea to charge 6 paise per minute on calls to other networks
datetime,2019-12-01 23:13:00+00:00
description,"Vodafone Idea has also announced new plans for prepaid product and services with two days, 28 days, 84 days and 365-day validity"
content,"NoneIUC charges are set by the Telecom Regulatory Authority of India (TRAI). This is currently fixed at 6 paise per minute.Relax, there will be no charges on Vodafone calls to other networks. So keep enjoying what we promised you - truly free calls on Vodafone unlimited plans.NoneNoneIndependent analysis suggests that after the said offnet mobile charges by Vodafone Idea, Reliance Jio tariffs will still be roughly over 25 percent cheaper.The plansThe telecom company has also announced new plans in the 'unlimited' category with two days, 28 days, 84 days and 365 days validity. These will be effective from December 3.Vodafone Idea has only revised rates of plan promising unlimited mobile and data services and also introduced some new plans.A company official explained all the existing plans in the unlimited category will be replaced by the new plans from December 3 and new plans will be introduced or revised based on market response.Even though the company classifies a set of plans in the 'unlimited' category, these actually come with usage limits for data at a promised speed and 100 SMS per day limit.The highest rate of increase of 41.2 percent has been announced by the company in an annual unlimited category plan which will cost Rs 2,399 instead of Rs 1,699 at present.The starting plan with a data offering of 1.5 GB per day with 84 days validity in the 'unlimited' category will cost around 31 percent more at Rs 599 compared to Rs 458 at present.The company will raise the price of Rs 199 unlimited plan, which offers 1.5 GB data per day, by about 25 percent to Rs 249.Financial stress citedVodafone Idea which is reeling under a massive debt of around Rs 1.17 lakh crore had earlier cited acute financial stress on the company behind the decision to raise mobile call and data charges.The company had last month reported a consolidated loss of Rs 50,921 crore -- the highest ever loss posted by any Indian corporate -- for the September quarter on account of liability arising out of the Supreme Court's order in the adjusted gross revenue (AGR) case.The company has estimated liability of Rs 44,150 crore post the apex court order and made provisioning of Rs 25,680 crore in the second quarter this fiscal.(With inputs from PTI)"
,0
title,Chandrayaan 2: NASA releases image of Vikram lander’s impact site
datetime,2019-12-03 07:43:00+00:00
description,"NASA released an image which showed the impact site and the associated debris field, with parts scattered over almost two dozen locations spanning many kilometres"
content,"A National Aeronautics and Space Administration (NASA)’s Lunar Reconnaissance Orbiter (LRO) satellite, orbiting the Moon, has found Chandrayaan 2’s Vikram lander which crashed on the lunar surface in September.The US space agency released an image taken by its LRO that showed the site of the spacecraft's impact (September 6 in India and September 7 in the US) and the associated debris field, with parts scattered over almost two dozen locations spanning many kilometres.In a statement, NASA said it released a mosaic image of the site on September 26, inviting the public to search it for signs of the lander.NoneNoneWith the Chandrayaan 2 mission that launched in July, the Indian Space Research Organisation (ISRO) had hoped to make India just the fourth country after the United States, Russia and China to make a successful Moon landing, and the first on the lunar south pole.The main spacecraft, which remains in orbit around the Moon, dropped the unmanned lander Vikram for a descent that would take five days, but the probe went silent just 2.1 kilometres above the surface.Days after the failed landing, ISRO had said it had located the lander, but had not been able to establish communication with it."
,0
title,"Can never forget rousing reception we received after winning 2007 World T20, 2011 World Cup: MS Dhoni"
datetime,2019-11-28 13:03:00+00:00
description,"Under Dhoni's leadership, India won the inaugural T20 World Cup in South Africa before winning the 2011 ODI World Cup as hosts at the iconic Wankhede Stadium in Mumbai."
content,"Former India captain Mahendra Singh Dhoni on November 27 picked the rousing reception his team received after its triumph in the 2007 World T20 and 2011 World Cup as the moments close to his heart.Under Dhoni's leadership, India won the inaugural T20 World Cup in South Africa before winning the 2011 ODI World Cup as hosts at the iconic Wankhede Stadium in Mumbai.Dhoni, who launched two limited editions watches of ""Panerai"", recollected the best moments of his career.""There are two incidents I would like to mention over here. So after the 2007 (T20) World Cup, we came back to India and had an open bus ride and we were standing at the Marine Drive (in Mumbai). It was jam-packed all around and people had come out of their cars,"" said Dhoni.""So, I felt good after seeing the smile on everyone's face. Because, there could have been so many people in the crowd, who might have missed their flights, perhaps they were going for important work. The kind of reception, we got, the entire Marine Drive was full from one end to other.""The other moment which he listed was the chants of ""Vande Mataram"" by the fans when India was close to victory in the 2011 World Cup final here. Dhoni had remained unbeaten on 91 in the all-important game.""And the second instance I would say the 2011 World Cup final, in that match when 15-20 runs were required, the way all the spectators started chanting ‘Vande Mataram' at the Wankhede Stadium.""These are two moments, I think, it will be very difficult to replicate them. Those are the two moments that are very close to my heart,"" added Dhoni, whose future is an intense subject of speculation as he is not played since India's World Cup semifinal loss to New Zealand in July.Dhoni said that the uncertainties of cricket made it the most followed sport in the country.""There are lot of uncertainties when it comes to cricket, and that's why I feel it is one of the most followed sport in India. Every delivery and every time the bowler comes, it changes the game. I feel, in the T20 every delivery actually changes the game,"" said Dhoni from the stage.""In cricket, we keep innovating ourself, we keep coming up with new things, something like a reverse-sweep was not part of the armoury if you talk about 15 years back, but now you see the batsmen turning around and playing the reverse-sweep. And the same thing I can say is that the Indian cricket team is successful because of the fans.""Dhoni also spoke about his early career, saying there were ups and downs.""I came from a small state (Jharkhand), from a small city (Ranchi), so it was not always up for me. It was those small ups and downs throughout till I went for my 2003 India A tour and from that point I have got steady success."
,0
title,MS Dhoni puts off questions about retirement until January
datetime,2019-11-27 20:57:00+00:00
description,Dhoni has been on a sabbatical since India's semifinal exit from the ODI World Cup in England in July. 
content,"""Don't ask me till January"", said Mahendra Singh Dhoni on November 27 as he sought to steer clear of queries on his ongoing break from cricket, which has fuelled intense speculation about his future in the game. ""January tak mat poocho (don't ask me till January),"" said Dhoni at an event here before questions on his sabbatical, which started with India's semifinal ouster from the World Cup in July, could even be thrown at him.On November 26, a source close to the former India captain said he will take a call on his future after next year's Indian Premier League (IPL).Dhoni has been on a sabbatical since India's semifinal exit from the ODI World Cup in England in July. He has missed the tour of the West Indies and the home series against South Africa and Bangladesh.The 38-year-old, who captains Chennai Super Kings in the IPL, will miss the limited-overs home assignment against the West Indies starting December 6 and comprising three T20 Internationals and an equal number of one-dayers.National selection committee chairman MSK Prasad has already made it clear that the panel has ""moved on"" and Dhoni is aware of its intent to blood youngsters such as Rishabh Pant keeping in mind next year's T20 World Cup in Australia.Dhoni was seen training with Jharkhand's under-23 team in Ranchi some days back, triggering a fresh round of speculation on a possible comeback.BCCI President Sourav Ganguly has stated that Dhoni will get the respect that a player of his stature deserves and had ruled out an immediate retirement by the celebrated wicketkeeper-batsman.""You know champions don't finish quickly,"" he had stated when he took over as the Board President last month."
,0
title,Maharashtra floor test: Nana Patole to be Congress candidate for Speaker's election
datetime,2019-11-30 12:13:00+00:00
description,The Uddhav Thackeray-led government will face floor test today.
content,"Congress MLA Nana Patole will be the party's candidate for the Maharashtra Assembly Speaker's election, sources said on November30. Patole represents the Sakoli Assembly segment in Vidarbha.""Patole will be our candidate for the Speaker's election,"" a senior Congress leader told PTI.Election for the post of Speaker will be held on Sunday."
,0
title,"There won't be any recession ever, FM Nirmala Sitharaman says while acknowledging slow economic growth"
datetime,2019-11-28 14:02:00+00:00
description,FM Sitharaman said this in response to a discussion in the Rajya Sabha on the economic situation of the country.
content,"None""Growth may have come down, but not a recession yet, and won't be a recession ever,"" FM Sitharaman said.A recession is typically defined as a period of negative economic growth over two consecutive quarters.NoneNoneShe highlighted that, at the end of the period 2009-14, India's real GDP growth rate stood at 6.4 percent while the same was at 7.5 percent at the end of 2014-19."
,0
title,WB govt to link Aadhaar numbers with ration cards
datetime,2019-11-27 09:49:00+00:00
description,"The scheme, which originally faced criticism from the Mamata Banerjee-led government, will see the light of day in 2020, as it could help West Bengal save around Rs 500 crore annually in food distribution"
content,"West Bengal Chief Minister Mamata Banerjee’s government has approved a proposal to link Aadhaar cards with ration cards, The Telegraph reported on Sunday. The state government’s food and supplies department has already started the process of seeding Aadhaar numbers with ration cards. The process should end by January 2020.NoneA senior government official confirmed the news, stating that the food and supplies department had put forth the proposal, following a Supreme Court order. Post the order, the Narendra Modi-led Central government has been pushing states to go for the process. However, Mamata, a vocal critic of the government’s Aadhaar policy, refused to link her Aadhaar to her mobile phone number.The West Bengal Chief Minister changed her mind after an all-party meeting in September that okayed the proposal. Banerjee had initially raised questions about the need to seed Aadhaar numbers with ration cards.None"
,0
title,Revenue surplus over 5 years possible as Delhi has non-corrupt govt: Arvind Kejriwal
datetime,2019-12-03 10:33:00+00:00
description,"Taking to Twitter, the chief minister said, ""Five years of increased expenditure on schools, hospitals, water and power - all this while maintaining revenue surplus and improving Delhi's fiscal health...(sic)"""
content,"A day after the CAG report said that the Delhi government has maintained a revenue surplus over the last five years, Chief Minister Arvind Kejriwal on Tuesday asserted it was possible as the national capital has a ""non-corrupt government"".Taking to Twitter, the chief minister said, ""Five years of increased expenditure on schools, hospitals, water and power - all this while maintaining revenue surplus and improving Delhi's fiscal health...(sic)"""
,0
title,Dell G3 15 review: Is this the best entry-level gaming laptop?
datetime,2019-12-18 11:52:00+00:00
description,What Dell is offering in the new G3 is an overall package that may not be worth every penny in terms of pure performance but adopts a no-compromise approach in every area that matters.
content,"NoneNoneDesignNoneNoneThe Dell G3 15 weighs little under 2.5 kgs with dimensions similar to that of most gaming laptops with same specs. The design overall on the G3 15 gives it a bit of an edge, making it look more like a gaming laptop than last generation’s G3. Additionally, the power button on the G3 15 doubles as a fingerprint reader, while the 720p webcam will get the job done for simple video chats.Touchpad & KeyboardDell has also managed to fit a full-sized backlit keyboard on the G3. The keys feature a nice actuation point, offering a nice bit of tactility while gaming. Typing is also a pleasant experience on the new G3, considering the keys are nicely spaced out and don’t seem squished. Overall, the keyboard on the new G3 is great for gaming and typing.NoneThe G3 also has a smooth and responsive touchpad that definitely gets the job done. The palm rest area seems pretty sturdy, ensuring zero flex when typing. Overall, the touchpad on the Dell G3 is not the best but gets the job done.PortsThe Dell G3 15 (2019) also features a healthy assortment of I/O. There’s a USB Type-C port, an HDMI out, Ethernet port, headphone jack and USB 3.1 Type-A port on the left. One the right, you get a full-size SD card slot, a lock slot and two USB 2.0 Type-A ports. The new G3 offers more than enough ports to connect several accessories to the laptop, while gaming.NoneDisplayDell new G3 gaming laptop features a 15.6-inch display with a 1080p resolution. The screen is supported by a single hinge and is surrounded by moderately sized bezels on either side. The new G3 also features a 144Hz refresh rate, which is excellent for an entry-level laptop. However, it covers under 70-per cent of the sRGB colour gamut, which is expected at this price but is still considerably low.NonePerformanceNoneOlder E-sports titles like DOTA 2, Heroes of the Storm, Overwatch and Counter Strike: Global Offensive offered an average of over 70 fps with the settings maxed out. We’d recommend lowering the settings to “high” to take full advantage of the 144Hz screen. Battle Royale’s like PUBG, Fortnite and Apex Legends also performed well. Fortnite on high settings will get you an average of above 100 fps, while Apex Legends offers between 60 and 70 fps.NoneThe new G3 is an excellent gaming laptop, which is more than capable of running AAA titles with decent frame rates. We tested Battlefield V, Darksiders III, and Star Wars Jedi: Fallen Order, getting between 40 to 60 fps on medium settings on all three titles.One area where the Dell G3 15 does particularly well is cooling. The new design leaves a lot of room for cooling with vents on the sides and back of the machine as well as twin 50 mm fans and two heat pipes between them. The cooling system on the G3 is one of the best on an entry-level series. While we did notice a bit of throttling, it doesn’t have much effect on the overall gaming experience.AudioThe fans on the new Dell G3 run no matter the task at hand. However, the G3 has an excellent speaker system. Audio quality on the integrated speakers is one of the best we’ve seen on an entry-level gaming laptop. And, while we’d recommend headphones for a better experience, the G3 offers impressive sound on maximum volume.NoneBatteryDell’s latest entry-level gaming laptop packs a 51WHr battery that isn’t bad for a gaming laptop. In our battery tests, the new G3 fared quite well, almost reaching six hours in web browsing with 40-per cent screen brightness. When we multitasked between MS Word, Excel, and Chrome, the G3 offered little over five hours of battery life. Gaming on the battery is possible but will cause a severe dip in performance and deliver no more than one hour of playtime.VerdictNoneHowever, and this is one big “however”, the new Dell G3 15 scores above average in all categories. What Dell is offering in the new G3 is an overall package that may not be worth every penny in terms of pure performance but adopts a no-compromise approach in every area that matters.NoneThe display offers decent brightness levels while offering a 144Hz refresh rate that’s more than the average 120Hz found on most entry-level gaming laptops. The new design looks edgy, while there are plenty of ports for connecting multiple accessories and the keyboard strikes the right balance between gaming and typing. Moreover, the new cooling design ensures excellent performance. Lastly, the battery life on the new G3 is well-above the average of any gaming laptop, little alone an entry-level one.The new Dell G3 15 may be a little more expensive than similarly specced laptops, but that’s only because it sets a much higher bar than most of its competition. So, in terms of our value test, the new G3 passes with flying colours."
,0
title,"RIL makes history by hitting Rs 10 trn market cap; buy, sell or hold?"
datetime,2019-11-28 17:49:00+00:00
description,"If one invested Rs 10,000 in Reliance during IPO in 1977, those shares would have currently valued at Rs 2.1 crore."
content,"NoneFurther, its market cap value equalled with 19 Nifty50 companies or Nifty250 Smallcap index stocks. Globally, it (worth of $140 billion) also surpassed its rival Total SA ($128.5 billion) and BP Plc ($99.13 billion).As a result, Chairman and Managing Director Mukesh Ambani remained the country's richest man, with a net worth of $60.7 billion, and Asia's 13th richest person, which is equivalent to the combined GDP of countries like Zimbabwe ($19.4 billion), Mauritius ($14 billion) and Iceland ($26.6 billion).NoneHere is the journey of RIL's market cap since 2005:NoneThanks to telecom (Reliance Jio Infocomm) and retail (Reliance Retail) or mainly consumer businesses which made investors, as well as analysts, confident about the company's growth and brought the stock back from long consolidation phase to growth phase.In fact, after hovering in the range of Rs 350-550 levels since 2009, the stock gathered steam in 2016 when it launched Jio and, since then, it turned a multibagger for investors. It rallied 220 percent in the last three years against the Nifty50's 50 percent rally in the same period.As per the data available on the BSE website, the opening tick was Rs 115 on January 2, 1991. Today, it closed at Rs 1,579.95 on the BSE (up 0.65 percent over previous price). The intraday all-time high stood at Rs 1,584.NoneIn terms of example, if one invested Rs 10,000 in Reliance during IPO in 1977, those shares would have currently valued at Rs 2.1 crore.Moreover, the consistent growth in consumer businesses and the recent asset monetisation plan to reduce debt significantly along with expected tariff hike prompted brokerages to turn more bullish on the stock and raised price targets.Maintaining its overweight call on RIL, last week, global brokerage Morgan Stanley said its bull case target price stood at Rs 2,000 (a potential upside of 27 percent from current levels) on hopes of higher refinery margins, potential telecom tariff hike, bottoming P/E cycle, kickstart of gas production, lower capex and ongoing deleveraging.Bank of America Merrill Lynch also said the company was expected to touch Rs 14 lakh crore in market cap in the coming months.""We will put two important factors that should be seen as a catalyst for this share. Firstly, the Reliance Jio disruption. This company has seen a stellar growth with a market share of more than 30 percent and is on the rise. The second is the stake sale to Aramco has further made its valuation going forward attractive since their aim to achieve the debt-free balance sheet is likely to be seen in FY20-21,"" Mustafa Nadeem, CEO, Epic Research, told Moneycontrol.In fact, Reliance is the stock that is carrying much of its weight to lift the benchmark indices up.""Hence, it is more of a value play where everyone from retail to portfolio managers wants this to be in the portfolio since it is also outperforming from the last few months,"" Nadeem said.He believes the stock can continue to go north.""There was a recent consolidation and that was fairly utilized as a minor dip. These dips may be seen in the future and any correction in stock to 3-4 percent should rather be seen as an opportunity. We believe investors or traders should also put risk-reward into play while buying any stock and stock like reliance should be added but on any minor dips towards lower levels of Rs 1,440-1,460,"" he said.Sharekhan said RIL had been its high-conviction investment idea for the past one year. The brokerage anticipated the re-rating in the counter, given its expectation of strong earnings growth in retail business and strong profitability in the digital services business.While maintaining a buy rating on Reliance Industries with a revised SoTP-based price target of Rs 1,785, going forward, Sharekhan also believes that more re-rating catalyst like balance sheet deleveraging (target to become zero net debt company by March-2020) and value unlocking from the retail and digital services businesses.HSBC also retained its buy call on the stock with a target price at Rs 1,700 per share as it believes Jio and Retail are set to continue to drive upside. ""RIL's consumer businesses are driving the upside and valuation of RIL does not appear expensive,"" the brokerage said.In October, RIL approved the formation of a wholly-owned subsidiary (WOS) for Digital Platform initiatives and said Reliance Jio Infocomm (Jio) would become virtually net debt free company by FY20-end, with the exception of spectrum-related liabilities.Its retail business has grown phenomenally, registering a seven-fold increase in revenue and a 14-fold increase in profit in the last six years.Jio has already become the largest operator in India and is still signing up more than 10 million new customers each month. On November 19, it said it would raise the tariffs and data charges in the next few weeks.""Jio's tariff can bring annual cash flow of more than $1.5 billion. Hence, we increased FY20/21/22 EPS estimates by 15/12/20 percent. The Jio price increase is earlier-than-expected,"" said Credit Suisse which was the only brokerage (as per our list) had maintained neutral rating with a target price at Rs 1,400.The two consumer businesses now collectively contribute nearly 32 percent to its consolidated EBITDA, up from two percent five years ago. The management is targeting their share to be 50 percent in the next few years.On the strength of RIL's existing and new growth engines, the management is confident of growing this by 15 percent annually over the next five years.RIL and Saudi Aramco have agreed to a non-binding letter of intent (LOI), wherein the latter may acquire a 20 percent stake in the ‘oil-to-chemicals’ division at an enterprise value of $75 billion. In fact, the Saudi Aramco also mentioned about this investment in its IPO.RIL have received strong interest from strategic and financial investors in their consumer businesses, Jio and Reliance Retail. The company will induct leading global partners in these businesses in the next few quarters and move towards listing of both these companies within the next five years, which will result in significant value unlocking."
,0
title,What should existing clients of Karvy Stock Broking do?
datetime,2019-11-26 15:56:00+00:00
description,Choose a new DP with care and stick to large and well-established names
